01/10/2009,338630
01/11/2009,339386
01/12/2009,400264
01/01/2010,314640
01/02/2010,311022
01/03/2010,360819
01/04/2010,356460
01/05/2010,365713
01/06/2010,358675
01/07/2010,362027
01/08/2010,362682
01/09/2010,346069
01/10/2010,355212
01/11/2010,365809
01/12/2010,426654
01/01/2011,335608
01/02/2011,337352
01/03/2011,387092
01/04/2011,380754
01/05/2011,391970
01/06/2011,388636
01/07/2011,384600
01/08/2011,394548
01/09/2011,374895
01/10/2011,379364
01/11/2011,391081
01/12/2011,451669
01/01/2012,355058
01/02/2012,372523
01/03/2012,414275
01/04/2012,393035
01/05/2012,418648
01/06/2012,400996
01/07/2012,396020
01/08/2012,417911
01/09/2012,385597
01/10/2012,399341
01/11/2012,410992
01/12/2012,461994
01/01/2013,375537
01/02/2013,373938
01/03/2013,421638
01/04/2013,408381
01/05/2013,436985
01/06/2013,414701
01/07/2013,422357
01/08/2013,434950
01/09/2013,396199
01/10/2013,415740
01/11/2013,423611
01/12/2013,477205
01/01/2014,383399
01/02/2014,380315
01/03/2014,432806
01/04/2014,431415
01/05/2014,458822
01/06/2014,433152
01/07/2014,443005
01/08/2014,450913
01/09/2014,420871
01/10/2014,437702
01/11/2014,437910
01/12/2014,501232
01/01/2015,397252
01/02/2015,386935
01/03/2015,444110
01/04/2015,438217
01/05/2015,462615
01/06/2015,448229
01/07/2015,457710
01/08/2015,456340
01/09/2015,430917
